Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Indiana,Big Ten,Batting Avg,0.373,,1.0,Indiana,0.373
Nebraska,Big Ten,Batting Avg,0.355,,5.0,,
Oregon,Big Ten,Batting Avg,0.352,,8.0,,
UCLA,Big Ten,Batting Avg,0.345,,13.0,,
Ohio St.,Big Ten,Batting Avg,0.343,,14.0,,
Penn St.,Big Ten,Batting Avg,0.331,,26.0,,
Michigan,Big Ten,Batting Avg,0.31,,51.0,,
Wisconsin,Big Ten,Batting Avg,0.299,,88.0,,
Purdue,Big Ten,Batting Avg,0.292,,109.0,,
Northwestern,Big Ten,Batting Avg,0.291,,112.0,,
Washington,Big Ten,Batting Avg,0.29,,114.0,,
Illinois,Big Ten,Batting Avg,0.271,,189.0,,
Iowa,Big Ten,Batting Avg,0.269,,195.0,,
Maryland,Big Ten,Batting Avg,0.267,,200.0,,
Michigan St.,Big Ten,Batting Avg,0.258,,232.0,,
Minnesota,Big Ten,Batting Avg,0.253,,250.0,,
Rutgers,Big Ten,Batting Avg,0.237,,280.0,,
Ohio St.,Big Ten,Double Plays,22.0,,40.0,Utah,35.0
Maryland,Big Ten,Double Plays,21.0,,48.0,,
Minnesota,Big Ten,Double Plays,19.0,,62.0,,
Northwestern,Big Ten,Double Plays,18.0,,78.0,,
Rutgers,Big Ten,Double Plays,18.0,,78.0,,
Indiana,Big Ten,Double Plays,17.0,,92.0,,
Penn St.,Big Ten,Double Plays,16.0,,109.0,,
Wisconsin,Big Ten,Double Plays,16.0,,109.0,,
Michigan,Big Ten,Double Plays,15.0,,124.0,,
Oregon,Big Ten,Double Plays,15.0,,124.0,,
Michigan St.,Big Ten,Double Plays,14.0,,138.0,,
Purdue,Big Ten,Double Plays,13.0,,159.0,,
Washington,Big Ten,Double Plays,12.0,,179.0,,
Illinois,Big Ten,Double Plays,11.0,,206.0,,
Nebraska,Big Ten,Double Plays,11.0,,206.0,,
UCLA,Big Ten,Double Plays,10.0,,221.0,,
Iowa,Big Ten,Double Plays,8.0,,256.0,,
Maryland,Big Ten,Double Plays Per Game,0.43,,47.0,Utah,0.67
Ohio St.,Big Ten,Double Plays Per Game,0.4,,60.0,,
Northwestern,Big Ten,Double Plays Per Game,0.38,,68.0,,
Minnesota,Big Ten,Double Plays Per Game,0.38,,71.0,,
