table_index,Qual.,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%,W,L,ERA,APP,GS,CG,SHO,SV,IP,ER,K-BB%,WHIP,FIP,xFIP,SIERA,LOB%
1,0,Taylor Roman,Ole Miss,SR,DH,.269,.352,.551,.904,35,88,78,11,21,1,0,7,18,1,9,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Valerie Ornelas,Abilene Christian,SR,C,.186,.258,.203,.461,27,66,59,7,11,1,0,0,7,1,5,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Reili Gardner,Elon,GR,CF,.225,.313,.254,.566,36,80,71,7,16,0,1,0,2,0,9,18,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Amber DeSena,Campbell,GR,3B,.392,.469,.500,.969,38,147,120,31,47,11,1,0,22,4,16,17,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Kaylee Pond,Arizona State,SR,CF,.361,.517,.824,1.341,40,147,108,36,39,7,2,13,41,9,28,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Taylor Nicholson,UMBC,GR,1B,.419,.468,.814,1.282,15,49,43,9,18,5,0,4,22,2,2,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Kylee Gleason,James Madison,GR,CF,.347,.393,.446,.839,36,138,121,25,42,4,1,2,17,0,11,9,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Savanah Whatley,Liberty,SR,SS,.213,.312,.338,.649,32,95,80,15,17,7,0,1,10,2,10,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Logan-Ray Gaspar,Grambling,FR,SS,.333,.393,.423,.816,28,89,78,8,26,3,2,0,14,2,7,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Jenna Lord,Charlotte,SR,3B,.431,.468,.732,1.199,40,139,123,35,53,12,2,7,29,1,11,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Amber Toven,Baylor,SR,SS,.368,.453,.556,1.009,37,139,117,27,43,7,0,5,35,2,18,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Riley McNemar,North Texas,SR,3B,.295,.380,.486,.866,38,123,105,25,31,8,0,4,24,4,11,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,McKenna Mulholland,Florida Atlantic,SR,SS,.276,.456,.513,.969,37,106,76,23,21,4,1,4,21,13,13,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Darien McDonough,Binghamton,GR,CF,.398,.448,.648,1.096,27,97,88,14,35,11,1,3,18,2,6,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Bailey Sample,Omaha,SR,3B,.396,.468,.604,1.073,31,112,96,30,38,8,0,4,23,5,9,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
