team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Alabama,1508,1235,416,62,9,81,195,40,187,0,0.43666666666666665,0.26153846153846155,0.34643226473629785,103.70333860641774,284.6633386064177,157.30732681610172,103.70333860641774,312.3,57,78,-57.0,4.670333860641774
Arkansas,1497,1229,437,84,4,67,207,35,155,0,0.44488103331067297,0.23840520748576077,0.36742800397219466,113.63984438468648,293.2798443846865,163.2597664132078,113.63984438468648,289.9,82,129,-82.0,3.163984438468648
Boston University,1732,1410,476,79,16,57,240,51,173,0,0.4222633744855967,0.2,0.3550847457627119,97.41493756970489,305.2549375697049,146.87015856894962,97.41493756970489,332.4,135,190,-135.0,-3.758506243029511
Arizona State,1592,1338,426,83,3,82,178,50,167,0,0.4155683269476373,0.25037369207772797,0.31588613406795224,80.27247642539842,271.3124764253984,142.01867484579063,80.27247642539842,330.2,130,223,-130.0,-4.972752357460157
Belmont,1439,1236,369,73,17,36,161,20,190,0,0.369894142554693,0.1739482200647249,0.3297029702970297,15.40554220940966,188.08554220940965,108.92143977843969,15.40554220940966,303.30000000000007,70,115,-70.0,-5.459445779059034
Arizona,1406,1200,426,63,8,62,155,22,153,0,0.42788671023965147,0.22083333333333333,0.3695431472081218,85.95447072901095,254.67447072901095,150.94503955014872,85.95447072901095,279.4,148,212,-148.0,-6.204552927098905
Appalachian State,1493,1235,377,57,7,75,193,30,195,0,0.4044444444444445,0.23967611336032388,0.31295336787564765,60.83895648218211,239.9989564821821,133.95789042318717,60.83895648218211,293.1,131,214,-131.0,-7.016104351781789
Campbell,1621,1312,435,68,11,17,219,50,194,0,0.3900506008855154,0.10746951219512195,0.3796548592188919,45.76582722594535,240.28582722594533,123.52756900367332,45.76582722594535,313.9,116,190,-116.0,-7.023417277405466
Cal State Fullerton,1439,1250,423,61,6,44,114,22,138,0,0.38725829725829725,0.164,0.3548689138576779,37.13338448635446,209.81338448635447,121.50416057815292,37.13338448635446,312.4,109,162,-109.0,-7.186661551364554
Central Arkansas,1569,1284,393,87,18,36,239,18,191,0,0.3914795587280987,0.17990654205607476,0.33774834437086093,46.247302446214555,234.52730244621455,124.56304570119745,46.247302446214555,315.5,150,222,-150.0,-10.375269755378545
Columbia,1199,1020,282,56,7,36,127,27,148,0,0.35505962521294715,0.17450980392156862,0.2942583732057416,-2.6304292230881634,141.24957077691184,98.17178953079778,-2.6304292230881634,246.29999999999998,103,157,-103.0,-10.563042922308815
California Baptist,1633,1368,405,83,13,39,159,48,170,0,0.3672507936507936,0.1652046783625731,0.3157894736842105,13.728897946293287,209.68889794629325,107.00596955822273,13.728897946293287,350.40000000000003,120,172,-120.0,-10.627110205370672
Austin Peay,1558,1348,403,65,7,69,151,37,155,0,0.3807552083333334,0.21216617210682492,0.297153024911032,31.393906838572335,218.3539068385723,116.79177729919358,31.393906838572335,313.8,140,220,-140.0,-10.860609316142767
Auburn,1510,1228,352,68,9,56,212,36,234,0,0.3863753387533876,0.20684039087947884,0.31556503198294245,37.80617606116649,219.00617606116649,120.86433557459519,37.80617606116649,308.5,152,273,-152.0,-11.41938239388335
Central Michigan,1378,1207,390,68,11,33,126,5,175,0,0.37236920777279525,0.15658657829328915,0.35735735735735735,17.71826661810171,183.07826661810168,110.71496529880362,17.71826661810171,283.4,132,208,-132.0,-11.42817333818983
Central Connecticut,1214,1069,333,85,3,38,115,7,194,0,0.37670864819479427,0.19176800748362957,0.35244922341696533,20.19050116234655,165.87050116234656,113.85948734373048,20.19050116234655,252.4,135,198,-135.0,-11.480949883765344
Albany,1201,1049,323,70,5,24,94,23,114,0,0.3582332761578045,0.14489990467111535,0.32821075740944017,0.6795785368063212,144.79957853680634,100.47153659228863,0.6795785368063212,255.29999999999998,117,170,-117.0,-11.632042146319368
Binghamton,1131,966,304,76,3,41,124,24,173,0,0.39657989228007184,0.2122153209109731,0.3497340425531915,38.35303279721442,174.0730327972144,128.25893957943885,38.35303279721442,219.7,169,261,-169.0,-13.064696720278558
Butler,1342,1098,334,57,5,24,180,16,154,0,0.3684389489953632,0.12659380692167577,0.33695652173913043,12.668939004746626,173.7089390047466,107.86695169196885,12.668939004746626,260.7,150,253,-150.0,-13.733106099525338
Colgate,1532,1312,356,73,5,80,162,33,311,0,0.37300597213005965,0.2461890243902439,0.2996742671009772,20.546673070824152,204.38667307082414,111.1763887460967,20.546673070824152,317.1,168,271,-168.0,-14.745332692917586
